State Name,year,state_abbrev,avg_aqi,month_start
Alabama,2026,AL,22.816666666666666,2026-07-01
Alaska,2026,AK,14.755555555555555,2026-07-01
Arizona,2026,AZ,3.0,2026-07-01
Arkansas,2026,AR,6.0,2026-07-01
California,2026,CA,21.75,2026-07-01
Colorado,2026,CO,3.747686195434234,2026-07-01
Connecticut,2026,CT,16.044444444444444,2026-07-01
Delaware,2026,DE,41.32142857142858,2026-07-01
Florida,2026,FL,12.166666666666666,2026-07-01
Georgia,2026,GA,26.95,2026-07-01
Hawaii,2026,HI,4.816666666666666,2026-07-01
Idaho,2026,ID,16.35483870967742,2026-07-01
Illinois,2026,IL,9.355700257852718,2026-07-01
Indiana,2026,IN,23.516883116883115,2026-07-01
Iowa,2026,IA,5.728100577941191,2026-07-01
Kansas,2026,KS,46.39558339998223,2026-07-01
Kentucky,2026,KY,32.29166666666667,2026-07-01
Louisiana,2026,LA,3.0,2026-07-01
Maine,2026,ME,2.0,2026-07-01
Maryland,2026,MD,1.0,2026-07-01
Massachusetts,2026,MA,5.0,2026-07-01
Michigan,2026,MI,25.15615763546798,2026-07-01
Minnesota,2026,MN,16.322222222222223,2026-07-01
Mississippi,2026,MS,5.0,2026-07-01
Missouri,2026,MO,48.73312647581133,2026-07-01
Montana,2026,MT,2.0,2026-07-01
Nebraska,2026,NE,5.0,2026-07-01
Nevada,2026,NV,21.647772652422585,2026-07-01
New Hampshire,2026,NH,11.025862068965518,2026-07-01
New Jersey,2026,NJ,13.333333333333332,2026-07-01
New Mexico,2026,NM,56.27136211952675,2026-07-01
New York,2026,NY,2.142857142857143,2026-07-01
North Carolina,2026,NC,3.0,2026-07-01
North Dakota,2026,ND,2.0,2026-07-01
Ohio,2026,OH,3.6666666666666665,2026-07-01
Oklahoma,2026,OK,17.074074074074073,2026-07-01
Oregon,2026,OR,2.0,2026-07-01
Pennsylvania,2026,PA,30.73950223767668,2026-07-01
Rhode Island,2026,RI,16.5,2026-07-01
South Carolina,2026,SC,45.2504982969974,2026-07-01
South Dakota,2026,SD,3.0,2026-07-01
Tennessee,2026,TN,42.66373411534702,2026-07-01
Texas,2026,TX,2.5,2026-07-01
Utah,2026,UT,13.627224974126626,2026-07-01
Vermont,2026,VT,0.0,2026-07-01
Virginia,2026,VA,2.4285714285714284,2026-07-01
Washington,2026,WA,21.372265480163144,2026-07-01
West Virginia,2026,WV,22.166666666666668,2026-07-01
Wisconsin,2026,WI,14.911111111111111,2026-07-01
Wyoming,2026,WY,13.25810405643739,2026-07-01
